question,document
What function do I use to divide each vector by its norm in Pandas?,5039707c1a
How do I get the 75th percentile from a Pandas column?,b4c8ac5a0c
What's the easiest way to compute a 0.75 quantile in Pandas?,b4c8ac5a0c
How can I find a percentile value for a Series or DataFrame column?,b4c8ac5a0c
What Pandas method should I use to calculate quantiles like 75%?,b4c8ac5a0c
Is there a quick way to pull the 75% percentile from df['col']?,b4c8ac5a0c
"How do I force delete every Docker container from the terminal, even the running ones?",66ccbb7da0
What’s the command to remove all Docker images at once from the command line?,66ccbb7da0
How can I wipe out all Docker volumes using a terminal command?,66ccbb7da0
"Is there a quick way to clean up every container, image, and volume in Docker?",66ccbb7da0
"What commands should I run if I want to fully reset Docker by deleting containers, images, and volumes?",66ccbb7da0
How can I make sure a user can only leave feedback once per submission in Streamlit?,2e729f1271
Why does `st.session.submitted` keep getting set back to True even after I click a feedback button?,2e729f1271
What’s the right way to disable the feedback buttons after I press Ask in Streamlit?,2e729f1271
"I’m using session state for +1/-1 feedback, but the submitted flag behaves oddly — how do I fix that?",2e729f1271
Is there a known solution for Streamlit session attributes being reassigned when handling feedback buttons?,2e729f1271
"Why does my Streamlit app fail in docker-compose with ""executable file not found in $PATH"", but works when I run it locally?",e8df9f0d12
What should I check first if docker-compose says it can’t start Streamlit because the binary isn’t found?,e8df9f0d12
Do I need a Dockerfile for a Streamlit app before running it with docker-compose?,e8df9f0d12
How do I fix the OCI runtime error when docker-compose can’t find the streamlit command inside the container?,e8df9f0d12
"After updating my docker-compose setup for Streamlit, what command should I use to rebuild everything and try again?",e8df9f0d12
"Is the capstone supposed to be done alone, or can we do it as a group?",0fab61eca2
Can I discuss the project idea with other students and still submit my own work?,0fab61eca2
"If two people work on one system, is that allowed for the capstone?",0fab61eca2
What if a shared project is split into separate parts — does each person need their own repo?,0fab61eca2
How do you decide whether a project can be graded independently for each student?,0fab61eca2
"Do we need to turn in two separate capstone projects, or is one project enough?",d5fc98925d
What exactly do attempt 1 and attempt 2 mean for the capstone submission?,d5fc98925d
"If my first capstone submission gets rejected, can I fix it and send it again later?",d5fc98925d
"Can I submit two projects just to get more practice, and if so do they need different datasets and problem statements?",d5fc98925d
"If I miss the first submission window, can I still join in for the second attempt and finish on time?",d5fc98925d
"Is the competition accepted as the capstone project, or are they separate?",e892d44e42
Can I use the Kaggle math LLM competition for my capstone work?,e892d44e42
Is it okay to join the competition with a team and still do the capstone individually?,e892d44e42
Does taking part in the competition count toward the capstone requirement?,e892d44e42
"Can I collaborate in the competition, or does the capstone have to be done alone?",e892d44e42
How will the capstone project be graded in this course?,9a2e2d2008
Who reviews the capstone project after I submit it?,9a2e2d2008
Do I also need to grade other students' capstone projects?,9a2e2d2008
What happens if I don’t review the required number of peer projects?,9a2e2d2008
How is the final score for the capstone project calculated?,9a2e2d2008
How will the project review assignments be handled after the submission deadline?,eae0fb50aa
"When the deadline is over, how do we find out which projects we need to grade?",eae0fb50aa
Will each participant review one project or more than one after submissions close?,eae0fb50aa
Is there going to be some kind of list or sheet with the assigned capstone projects for grading?,eae0fb50aa
How many projects are we expected to be assigned once the submission deadline passes?,eae0fb50aa
"I submitted my capstone already, but why am I not seeing anything to review yet?",a8a7fef016
"After the project deadline passes, how do project evaluations get assigned?",a8a7fef016
"Can I pick which capstone projects I want to evaluate, or is it automatic?",a8a7fef016
Why can’t I review other students’ projects before the project list is out?,a8a7fef016
I’ve turned in my project—when will I actually be able to start reviewing?,a8a7fef016
Where can I look for project ideas and datasets for this capstone assignment?,e76a70cde3
Is there a page with example datasets I can use for the project?,e76a70cde3
Can you point me to some ideas and tips for the final project?,e76a70cde3
I’m stuck on what to build — where do I find inspiration and data sources?,e76a70cde3
Do you have a link with suggested datasets and guidance for the capstone project?,e76a70cde3
"Do I need to use Airflow, Mage, or Kestra for the capstone project, or is that optional?",d4f7c08ea1
Can I just write a plain Python script for the ingestion pipeline and still get full points?,d4f7c08ea1
"If I build the ingest-and-index flow in a Jupyter notebook, how many points does that count for?",d4f7c08ea1
When does it make sense to add an orchestrator to the capstone instead of just scripting it?,d4f7c08ea1
"Should I add an orchestration tool only to satisfy the project rubric, or only if the project really needs it?",d4f7c08ea1
How can I test a recommender-style RAG when I don’t have any obvious ground-truth answers?,9b0e2d6a47
What’s a good way to create synthetic eval data for a retrieval system from item descriptions?,9b0e2d6a47
"For ranking-style RAG, which metrics make more sense than plain hit rate, and why?",9b0e2d6a47
How do people use an LLM as a judge to score the quality of RAG results end to end?,9b0e2d6a47
"If several items could be valid answers, should I use NDCG or hit rate for evaluation?",9b0e2d6a47
What's a good way to chunk a huge PDF corpus without overthinking the chunker first?,6f2a8b3d10
Should I start with fixed-size chunks or try an LLM-based splitter for long documents?,6f2a8b3d10
How can summaries help when I'm indexing big docs into a search system?,6f2a8b3d10
"For legal or financial PDFs, is it better to use semantic search only or combine it with BM25?",6f2a8b3d10
What tools can I use to turn PDFs into cleaner markdown before splitting them up?,6f2a8b3d10
"What does reproducibility mean for the capstone project, and do reviewers need my API keys to run it?",e5d8a2c761
Should I put API keys or hosted-service credentials in the repo for the project review?,e5d8a2c761
How can I let someone rebuild the search index from scratch when they clone my project?,e5d8a2c761
"Do I need a .env.example file, and what should it contain for the capstone?",e5d8a2c761
What should I pin or document so my project can be run the same way by a reviewer?,e5d8a2c761
"Can I do the homework in a language other than Python, like JavaScript or Go, or should I stick to Python?",ea815eb858
"If I build my capstone project with TypeScript, what extra stuff do I need to include for the reviewer?",ea815eb858
"Is it actually allowed to use Rust, Java, Scala, C#, or R for the course assignments, or is Python required?",ea815eb858
What should my README explain if I choose a non-Python stack for the project so it can still be reviewed easily?,ea815eb858
"For a non-Python submission, how detailed do the install and run instructions need to be across Windows, macOS, and Linux?",ea815eb858
Where do I look to see past LLM Zoomcamp capstone projects?,930286278d
Is there a page with old project submissions for LLM Zoomcamp?,930286278d
Can I check 2024 and 2025 LLM Zoomcamp projects somewhere?,930286278d
Where can I browse examples of previous capstone repos from the course?,930286278d
Do you have links to earlier LLM Zoomcamp project submissions?,930286278d
Do I have to reserve my capstone project idea before I start working on it?,897a350476
Is there any need to announce my project topic in advance for the capstone?,897a350476
Can I get feedback on my project idea somewhere before I begin?,897a350476
"Are projects on the same topic allowed in the capstone, or does it have to be unique?",897a350476
Where can I check past capstone projects to figure out what scope is expected?,897a350476
Can I build my capstone as a WhatsApp or Telegram bot instead of a website?,7318a90b14
"Is a web app required for the project, or can I use something like Slack, CLI, or a notebook?",7318a90b14
Are there any rules about what interface I use to show the project to users?,7318a90b14
"Does the course teach how to make a Telegram, WhatsApp, or Slack interface for the capstone?",7318a90b14
"As long as it meets the grading criteria, can I choose any user-facing interface for my project?",7318a90b14
"What’s the best tool to pull text out of PDFs for a RAG project, or is there no single recommended one?",d8b28c47a0
"If my PDFs are scanned images with no text layer, what should I use to OCR them before building RAG chunks?",d8b28c47a0
"Has anyone tried docling, PyMuPDF, or unstructured for document extraction in this course — which one usually works better?",d8b28c47a0
"Do I need to run OCR locally with Tesseract, or is it okay to use a hosted OCR API like Mistral OCR for my capstone?",d8b28c47a0
"After extracting text from documents, what’s the next step for preparing them for RAG?",d8b28c47a0
Can I use the workshop content in my own capstone project?,d850a0e7ea
Is it okay to reuse this dlt workshop material for other projects too?,d850a0e7ea
Could I apply dlt from this workshop in something like an MLOps Zoomcamp project?,d850a0e7ea
"Since dlt is open source, am I allowed to use the workshop stuff directly in my work?",d850a0e7ea
"If I have questions while using the workshop material in my project, can I just ask about it?",d850a0e7ea
How do I initialize a new dlt project for loading data from cloud storage?,6bceeebf04
What command should I run to set up a dlt filesystem project with DuckDB?,6bceeebf04
"I want to start a fresh dlt pipeline from cloud files, what’s the first step?",6bceeebf04
How can I bootstrap a dlt project using the filesystem source and DuckDB destination?,6bceeebf04
Where do I begin if I need to create a new dlt setup for cloud data loading?,6bceeebf04
Why do I get `Table notion_pages___homework does not exist` when I try to open it in dlt?,0407213397
"I changed the table name to `notion_pages___homework`, but it still says to call create_table first — what did I miss?",0407213397
"How can I fix the `FileNotFoundError` when `db.open_table(""notion_pages___homework"")` fails?",0407213397
"If my pipeline still complains about `employee_handbook`, what setting should I check?",0407213397
What usually causes the homework table error in the open-source data ingestion workshop?,0407213397
"Why am I getting FileNotFoundError for notion_pages___homework when I run main(), and how do I fix it?",e95bfafc0e
"In the dlt workshop, what should I put on line 3 if the table notion_pages___homework doesn't exist yet?",e95bfafc0e
My code says Table notion_pages___homework does not exist. Do I need to create it manually or open a different table?,e95bfafc0e
What is the correct db.open_table call for the homework table in the Notion ingestion example?,e95bfafc0e
"If main() fails with a missing notion_pages___homework table, which table name should I use in the script?",e95bfafc0e
How can I see all the tables in the database?,e394e6f738
Is there a way to list the table names in db?,e394e6f738
What method should I use to check which tables exist?,e394e6f738
How do I get a list of tables from the database object?,e394e6f738
Where can I find the names of all tables in db?,e394e6f738
"Does dlt already support ClickHouse or StarRocks connectors, or are those still missing?",cd19f122f3
Can I use dlt to load data into ClickHouse or StarRocks right now?,cd19f122f3
Are there any built-in connectors in dlt for ClickHouse and StarRocks?,cd19f122f3
Why isn't there a ClickHouse or StarRocks connector in dlt yet?,cd19f122f3
Is the dlt project open to community contributions for adding ClickHouse or StarRocks support?,cd19f122f3
Why am I getting a 401 Unauthorized from the Notion search endpoint in the notebook?,0dfba07ace
What should I check if the notebook says it has no secret access for Notion API requests?,0dfba07ace
"Could this Notion API error be caused by a bad or expired token, and how do I fix it?",0dfba07ace
How do I make sure my API key and permissions are set correctly for the Notion integration?,0dfba07ace
"If I’m calling api.notion.com/v1/search and still get unauthorized, what configuration should I verify?",0dfba07ace
How do I install the exact requests version lancedb needs instead of getting 2.28 from pip?,4b30b918bc
What command can I use to pull requests 2.32.3 straight from GitHub?,4b30b918bc
"Why am I seeing a 401 Client Error when trying to use my key, and what should I check?",4b30b918bc
Is there a way to force pip to install requests from the source zip for version 2.32.3?,4b30b918bc
My install keeps giving an older requests release — how can I fix that for this setup?,4b30b918bc
